,screen_pixel_size,new_response_max,new_response_min,viewing_distance,image_height,image_width,target_orientation,flank_distance,offset,image,sigma,K,rms,rrms,resp.keys,resp.rt,expName,session,date,participant
0,0.282,100,0,905.5,1000,1000,90,-0.016666666666666666,3,kahneman_90_-0.0166666666667.png,6.52330453037507,5.0,0.04431068020287977,0.023988163746078706,0,0,kahneman,0,2019_Jun_16_1308,model
1,0.282,100,0,905.5,1000,1000,90,0.001,3,kahneman_90_0.001.png,6.52330453037507,5.0,0.07600387611319769,0.03489507038535777,0,0,kahneman,0,2019_Jun_16_1308,model
2,0.282,100,0,905.5,1000,1000,90,0.002,3,kahneman_90_0.002.png,6.52330453037507,5.0,0.07600387611319769,0.03392442187759138,0,0,kahneman,0,2019_Jun_16_1308,model
3,0.282,100,0,905.5,1000,1000,90,0.003,3,kahneman_90_0.003.png,6.52330453037507,5.0,0.07600387611319767,0.03364627176626335,0,0,kahneman,0,2019_Jun_16_1308,model
4,0.282,100,0,905.5,1000,1000,90,0.004,3,kahneman_90_0.004.png,6.52330453037507,5.0,0.07600387611319767,0.03345119013232294,0,0,kahneman,0,2019_Jun_16_1308,model
5,0.282,100,0,905.5,1000,1000,90,0.01,3,kahneman_90_0.01.png,6.52330453037507,5.0,0.07600387611319767,0.03552168766027629,0,0,kahneman,0,2019_Jun_16_1308,model
6,0.282,100,0,905.5,1000,1000,90,0.02,3,kahneman_90_0.02.png,6.52330453037507,5.0,0.07600387611319769,0.04028174624959827,0,0,kahneman,0,2019_Jun_16_1308,model
7,0.282,100,0,905.5,1000,1000,90,0.030000000000000002,3,kahneman_90_0.03.png,6.52330453037507,5.0,0.07600387611319767,0.04274958345413228,0,0,kahneman,0,2019_Jun_16_1308,model
8,0.282,100,0,905.5,1000,1000,90,0.04,3,kahneman_90_0.04.png,6.52330453037507,5.0,0.07600387611319769,0.04349947706790118,0,0,kahneman,0,2019_Jun_16_1308,model
9,0.282,100,0,905.5,1000,1000,90,0.05,3,kahneman_90_0.05.png,6.52330453037507,5.0,0.07600387611319767,0.04357456912226055,0,0,kahneman,0,2019_Jun_16_1308,model
10,0.282,100,0,905.5,1000,1000,90,0.09000000000000001,3,kahneman_90_0.09.png,6.52330453037507,5.0,0.07600387611319767,0.04313195807980868,0,0,kahneman,0,2019_Jun_16_1308,model
